,DATE,HourlySkyConditions
1423,2021-02-03T21:53:00,CLR:00
15233,2022-03-10T06:53:00,CLR:00
3762,2021-04-17T07:53:00,OVC:08 4
17379,2022-05-11T04:04:00,VV:09 1
15576,2022-03-19T13:53:00,SCT:04 37 OVC:08 70
5897,2021-06-29T18:53:00,CLR:00
8104,2021-09-09T05:53:00,CLR:00
22482,2022-10-20T17:53:00,CLR:00
9563,2021-10-24T00:53:00,SCT:04 7 OVC:08 13
11568,2021-12-06T12:53:00,OVC:08 3
4258,2021-05-03T05:53:00,CLR:00
16485,2022-04-15T02:53:00,BKN:07 20
17734,2022-05-24T20:53:00,CLR:00
14103,2022-01-31T09:53:00,CLR:00
11723,2021-12-09T22:53:00,CLR:00
5318,2021-06-09T10:53:00,FEW:02 50
5944,2021-07-01T05:53:00,OVC:08 5
2845,2021-03-18T19:53:00,OVC:08 5
8027,2021-09-06T06:21:00,BKN:07 1
18700,2022-06-27T11:53:00,CLR:00
22634,2022-10-25T20:53:00,CLR:00
22737,2022-10-29T21:53:00,CLR:00
2565,2021-03-10T02:15:00,BKN:07 23 BKN:07 35
12806,2022-01-03T11:53:00,OVC:08 5
7829,2021-08-31T05:53:00,FEW:02 1 BKN:07 7
19380,2022-07-19T21:17:00,SCT:04 3
21940,2022-10-07T02:59:00,CLR:00
20419,2022-08-20T22:53:00,CLR:00
22080,2022-10-10T11:53:00,CLR:00
607,2021-01-14T05:53:00,VV:09 2
4781,2021-05-21T08:53:00,CLR:00
18759,2022-06-29T07:37:00,SCT:04 2
19927,2022-08-05T01:51:00,OVC:08 10
24659,2022-12-17T01:05:00,CLR:00
15902,2022-03-28T02:51:00,FEW:02 8 SCT:04 27 OVC:08 50
672,2021-01-15T23:53:00,CLR:00
248,2021-01-05T19:53:00,BKN:07 120
24928,2022-12-23T07:53:00,OVC:08 17
351,2021-01-08T05:11:00,FEW:02 26 BKN:07 36 OVC:08 80
7030,2021-08-05T04:53:00,OVC:08 6
9370,2021-10-20T14:12:00,OVC:08 4
8124,2021-09-09T23:51:00,BKN:07 110
8996,2021-10-08T07:51:00,SCT:04 2
3463,2021-04-08T09:53:00,CLR:00
4487,2021-05-11T21:53:00,CLR:00
2068,2021-02-21T19:53:00,CLR:00
20672,2022-08-28T06:53:00,OVC:08 8
12783,2022-01-02T22:53:00,OVC:08 41
5619,2021-06-20T09:53:00,CLR:00
401,2021-01-09T21:53:00,CLR:00
5070,2021-05-31T11:53:00,CLR:00
12572,2021-12-27T13:53:00,FEW:02 41
9986,2021-10-31T23:59:00,
19240,2022-07-14T22:53:00,CLR:00
9914,2021-10-30T16:53:00,SCT:04 17 BKN:07 30 BKN:07 200
12975,2022-01-06T11:53:00,OVC:08 8
18629,2022-06-25T17:53:00,CLR:00
20187,2022-08-12T18:53:00,CLR:00
11277,2021-11-30T04:53:00,
1509,2021-02-06T06:53:00,CLR:00
20240,2022-08-14T19:53:00,CLR:00
13339,2022-01-14T01:15:00,CLR:00
23770,2022-11-25T20:53:00,CLR:00
1226,2021-01-29T14:53:00,SCT:04 35
2166,2021-02-25T16:53:00,CLR:00
17217,2022-05-06T12:53:00,OVC:08 22
1663,2021-02-10T04:15:00,VV:09 5
14760,2022-02-21T09:53:00,CLR:00
21656,2022-09-28T20:53:00,CLR:00
69,2021-01-02T05:53:00,SCT:04 6 OVC:08 11
1237,2021-01-29T23:59:00,
5908,2021-06-30T04:40:00,FEW:02 4
19985,2022-08-06T21:53:00,CLR:00
22284,2022-10-15T02:51:00,OVC:08 5
23676,2022-11-23T05:51:00,FEW:02 2
4315,2021-05-05T11:53:00,CLR:00
5814,2021-06-26T21:53:00,CLR:00
10514,2021-11-12T03:17:00,VV:09 1
14545,2022-02-13T21:53:00,CLR:00
13108,2022-01-08T23:59:00,
21934,2022-10-06T23:59:00,
12172,2021-12-19T08:51:00,OVC:08 15
16398,2022-04-13T07:53:00,BKN:07 37
15649,2022-03-22T09:53:00,CLR:00
589,2021-01-13T23:21:00,VV:09 2
11381,2021-12-02T02:47:00,CLR:00
7202,2021-08-10T21:53:00,CLR:00
11943,2021-12-15T07:53:00,BKN:07 2 BKN:07 50
13180,2022-01-10T12:53:00,CLR:00
16594,2022-04-17T15:53:00,CLR:00
3947,2021-04-23T12:53:00,
23797,2022-11-26T22:53:00,CLR:00
153,2021-01-03T23:53:00,FEW:02 80 BKN:07 100 OVC:08 110
1672,2021-02-10T05:05:00,FEW:02 4
980,2021-01-24T02:06:00,VV:09 1
22495,2022-10-21T00:41:00,OVC:08 2
16311,2022-04-10T04:53:00,CLR:00
12815,2022-01-03T16:15:00,OVC:08 5
24188,2022-12-06T23:53:00,CLR:00
22017,2022-10-09T00:51:00,VV:09 2
13758,2022-01-23T23:59:00,
20925,2022-09-04T15:53:00,CLR:00
1287,2021-01-31T20:53:00,BKN:07 120
10753,2021-11-16T23:07:00,FEW:02 7
7972,2021-09-04T21:53:00,CLR:00
7384,2021-08-17T04:53:00,OVC:08 65
19848,2022-08-02T07:53:00,SCT:04 250
2896,2021-03-19T23:59:00,
18379,2022-06-16T10:53:00,CLR:00
18699,2022-06-27T10:53:00,FEW:02 25
4982,2021-05-28T08:22:00,FEW:02 6
16057,2022-03-31T18:53:00,CLR:00
358,2021-01-08T06:51:00,BKN:07 6
12233,2021-12-20T23:59:00,
3935,2021-04-23T02:53:00,OVC:08 8
7967,2021-09-04T16:53:00,CLR:00
548,2021-01-13T03:53:00,BKN:07 11 OVC:08 19
9665,2021-10-26T00:49:00,BKN:07 28 OVC:08 32
998,2021-01-24T04:57:00,BKN:07 2
18937,2022-07-04T22:46:00,BKN:07 13 OVC:08 19
2078,2021-02-22T04:53:00,CLR:00
22807,2022-10-31T05:53:00,VV:09 2
17591,2022-05-19T02:53:00,CLR:00
6409,2021-07-15T20:53:00,CLR:00
22023,2022-10-09T03:53:00,OVC:08 3
7834,2021-08-31T09:53:00,CLR:00
19831,2022-08-01T15:53:00,FEW:02 80 BKN:07 100
21915,2022-10-06T05:53:00,CLR:00
11830,2021-12-13T01:30:00,BKN:07 10 OVC:08 14
22841,2022-11-01T01:06:00,OVC:08 2
15086,2022-03-04T14:53:00,FEW:02 65
6459,2021-07-17T17:53:00,CLR:00
18615,2022-06-25T06:53:00,OVC:08 2
24262,2022-12-08T01:09:00,BKN:07 6 OVC:08 13
400,2021-01-09T20:53:00,CLR:00
22206,2022-10-13T10:51:00,SCT:04 9
23207,2022-11-08T22:27:00,FEW:02 2 BKN:07 42
11271,2021-11-30T02:53:00,VV:09 1
21499,2022-09-25T00:53:00,CLR:00
431,2021-01-10T06:53:00,OVC:08 17
17125,2022-05-04T01:53:00,CLR:00
25217,2022-12-28T13:53:00,FEW:02 20 SCT:04 50
16939,2022-04-26T16:53:00,CLR:00
1201,2021-01-29T01:53:00,SCT:04 15 SCT:04 31 BKN:07 46
13008,2022-01-07T03:53:00,BKN:07 40 OVC:08 65
3448,2021-04-08T02:43:00,VV:09 2
24436,2022-12-11T12:53:00,FEW:02 26 BKN:07 40
14752,2022-02-21T01:53:00,CLR:00
15556,2022-03-18T22:53:00,CLR:00
23921,2022-12-01T02:06:00,BKN:07 7 OVC:08 11
16111,2022-04-02T06:53:00,CLR:00
22587,2022-10-23T23:53:00,CLR:00
1882,2021-02-15T10:53:00,SCT:04 12 BKN:07 19 BKN:07 29
15352,2022-03-14T02:53:00,CLR:00
3773,2021-04-17T16:53:00,CLR:00
2122,2021-02-23T22:53:00,CLR:00
16587,2022-04-17T09:53:00,SCT:04 10
24729,2022-12-18T06:51:00,CLR:00
23237,2022-11-09T11:24:00,SCT:04 3
631,2021-01-14T23:53:00,CLR:00
9694,2021-10-26T13:53:00,BKN:07 9 BKN:07 15 OVC:08 37
21975,2022-10-08T03:33:00,BKN:07 1
6905,2021-08-01T03:53:00,OVC:08 5
13710,2022-01-22T01:53:00,CLR:00
23897,2022-11-30T11:53:00,SCT:04 40
15245,2022-03-10T18:53:00,CLR:00
10556,2021-11-12T23:50:00,VV:09 1
8451,2021-09-19T13:53:00,FEW:02 50
13423,2022-01-15T22:20:00,CLR:00
14963,2022-03-01T07:53:00,SCT:04 200
15423,2022-03-15T14:53:00,SCT:04 50
720,2021-01-16T23:53:00,BKN:07 2
23494,2022-11-16T13:53:00,SCT:04 200
22275,2022-10-14T21:53:00,OVC:08 3
17417,2022-05-12T05:53:00,FEW:02 70 SCT:04 200
970,2021-01-24T00:14:00,CLR:00
1660,2021-02-10T03:53:00,CLR:00
5697,2021-06-22T23:59:00,
10451,2021-11-11T02:53:00,VV:09 1
21018,2022-09-08T08:53:00,CLR:00
24742,2022-12-18T16:53:00,FEW:02 200
13617,2022-01-20T02:53:00,OVC:08 1
4703,2021-05-18T06:53:00,CLR:00
1673,2021-02-10T05:09:00,FEW:02 4
13774,2022-01-24T04:13:00,VV:09 1
11590,2021-12-06T23:53:00,BKN:07 6 OVC:08 11
13934,2022-01-27T05:36:00,VV:09 2
5643,2021-06-21T06:53:00,OVC:08 9
1456,2021-02-05T04:00:00,CLR:00
15842,2022-03-26T19:53:00,CLR:00
5825,2021-06-27T03:51:00,OVC:08 4
7040,2021-08-05T11:53:00,CLR:00
23396,2022-11-12T21:53:00,CLR:00
2898,2021-03-20T01:53:00,CLR:00
22113,2022-10-11T08:53:00,OVC:08 2
14558,2022-02-14T03:53:00,VV:09 2
7577,2021-08-23T09:53:00,OVC:08 8
22713,2022-10-28T23:59:00,
2612,2021-03-11T00:16:00,SCT:04 39
8855,2021-10-03T21:53:00,CLR:00
12450,2021-12-24T20:53:00,BKN:07 34 BKN:07 43 OVC:08 65
22848,2022-11-01T03:51:00,OVC:08 2
11505,2021-12-05T03:53:00,VV:09 2
13210,2022-01-11T02:53:00,CLR:00
24640,2022-12-16T08:53:00,CLR:00
5172,2021-06-03T15:53:00,CLR:00
614,2021-01-14T09:53:00,VV:09 2
8389,2021-09-18T10:37:00,OVC:08 6
10093,2021-11-03T02:22:00,VV:09 2
9378,2021-10-20T16:51:00,OVC:08 15
21740,2022-10-01T08:25:00,OVC:08 4
22491,2022-10-20T23:37:00,OVC:08 2
5362,2021-06-11T04:53:00,CLR:00
234,2021-01-05T07:53:00,VV:09 2
4085,2021-04-27T12:53:00,CLR:00
20748,2022-08-30T10:20:00,FEW:02 9
9308,2021-10-19T06:53:00,VV:09 2
906,2021-01-22T10:53:00,SCT:04 11 SCT:04 25 BKN:07 120
12973,2022-01-06T10:53:00,OVC:08 4
16498,2022-04-15T15:53:00,SCT:04 50 BKN:07 90
6648,2021-07-24T13:53:00,CLR:00
14285,2022-02-06T22:13:00,BKN:07 2
3047,2021-03-25T11:53:00,SCT:04 50
8814,2021-10-02T05:53:00,CLR:00
21637,2022-09-28T05:17:00,VV:09 2
12200,2021-12-20T01:53:00,FEW:02 29 OVC:08 35
12303,2021-12-22T08:53:00,OVC:08 5
35,2021-01-01T20:22:00,OVC:08 11
12553,2021-12-27T03:53:00,SCT:04 37 OVC:08 44
18375,2022-06-16T06:53:00,CLR:00
1404,2021-02-03T06:12:00,FEW:02 27 SCT:04 39 BKN:07 47
8044,2021-09-06T21:53:00,CLR:00
4141,2021-04-29T09:53:00,SCT:04 250
19035,2022-07-07T16:51:00,CLR:00
23713,2022-11-24T01:53:00,VV:09 1
24222,2022-12-07T07:53:00,BKN:07 1
23431,2022-11-14T04:28:00,CLR:00
5497,2021-06-15T20:53:00,CLR:00
6668,2021-07-25T02:53:00,OVC:08 3
16586,2022-04-17T09:00:00,SCT:04 3 BKN:07 10
18734,2022-06-28T12:53:00,CLR:00
6261,2021-07-11T08:13:00,SCT:04 8
21401,2022-09-21T06:53:00,FEW:02 20 BKN:07 95
24727,2022-12-18T06:35:00,VV:09 1
18463,2022-06-19T18:53:00,CLR:00
10362,2021-11-09T19:53:00,OVC:08 1
22042,2022-10-09T13:53:00,CLR:00
252,2021-01-05T23:53:00,CLR:00
14287,2022-02-06T22:25:00,VV:09 2
12475,2021-12-25T07:09:00,FEW:02 39 BKN:07 48 BKN:07 90
9479,2021-10-22T05:53:00,FEW:02 20 BKN:07 34 OVC:08 95
13916,2022-01-27T01:53:00,CLR:00
2940,2021-03-21T10:53:00,CLR:00
17532,2022-05-16T18:53:00,CLR:00
4504,2021-05-12T03:46:00,OVC:08 2
20837,2022-09-01T20:53:00,CLR:00
21551,2022-09-26T02:06:00,OVC:08 2
25171,2022-12-28T00:07:00,SCT:04 25 BKN:07 49
10874,2021-11-19T17:53:00,BKN:07 17 OVC:08 24
13844,2022-01-25T05:53:00,BKN:07 2
12877,2022-01-04T23:53:00,SCT:04 2 OVC:08 32
16711,2022-04-20T06:53:00,SCT:04 16 BKN:07 21 OVC:08 33
23163,2022-11-08T04:53:00,SCT:04 16 BKN:07 25 OVC:08 34
15053,2022-03-03T14:53:00,FEW:02 27 OVC:08 120
5522,2021-06-16T20:53:00,CLR:00
14865,2022-02-25T10:53:00,CLR:00
21507,2022-09-25T04:19:00,VV:09 2
663,2021-01-15T14:53:00,SCT:04 200 BKN:07 250
16097,2022-04-01T23:53:00,CLR:00
13847,2022-01-25T06:42:00,VV:09 1
10805,2021-11-18T01:53:00,CLR:00
4725,2021-05-19T03:53:00,CLR:00
20238,2022-08-14T17:53:00,CLR:00
14321,2022-02-07T23:51:00,CLR:00
9518,2021-10-23T05:53:00,OVC:08 2
22590,2022-10-24T01:53:00,CLR:00
15987,2022-03-29T19:53:00,CLR:00
22236,2022-10-14T01:53:00,OVC:08 2
22363,2022-10-17T01:53:00,FEW:02 3
21479,2022-09-24T05:53:00,CLR:00
11389,2021-12-02T04:50:00,CLR:00
15754,2022-03-24T22:41:00,OVC:08 2
21013,2022-09-08T03:53:00,CLR:00
1959,2021-02-18T09:53:00,BKN:07 120
1994,2021-02-19T05:53:00,BKN:07 5 OVC:08 10
18563,2022-06-23T18:53:00,CLR:00
1299,2021-02-01T06:53:00,FEW:02 50 BKN:07 100
13522,2022-01-18T04:02:00,VV:09 1
11877,2021-12-13T14:53:00,BKN:07 20 OVC:08 34
16624,2022-04-18T09:15:00,BKN:07 22 OVC:08 55
20270,2022-08-15T23:59:00,
13356,2022-01-14T08:53:00,CLR:00
10848,2021-11-19T06:51:00,SCT:04 3 OVC:08 8
17361,2022-05-10T23:59:00,
25287,2022-12-30T02:36:00,OVC:08 5
7091,2021-08-07T09:53:00,CLR:00
14664,2022-02-18T01:53:00,CLR:00
3793,2021-04-18T09:53:00,CLR:00
6717,2021-07-26T11:53:00,SCT:04 100
9014,2021-10-08T23:59:00,
5040,2021-05-30T06:53:00,SCT:04 250
18650,2022-06-26T05:51:00,OVC:08 2
19564,2022-07-24T12:53:00,CLR:00
18259,2022-06-11T22:53:00,CLR:00
10713,2021-11-16T00:28:00,OVC:08 2
11804,2021-12-12T15:35:00,BKN:07 7 OVC:08 12
12866,2022-01-04T18:53:00,SCT:04 90
13162,2022-01-10T01:53:00,BKN:07 100
20594,2022-08-26T09:26:00,OVC:08 5
7397,2021-08-17T17:53:00,CLR:00
20441,2022-08-21T13:53:00,FEW:02 150
5856,2021-06-28T04:53:00,OVC:08 5
21572,2022-09-26T13:53:00,CLR:00
24597,2022-12-15T17:53:00,CLR:00
12997,2022-01-06T23:59:00,
10249,2021-11-06T15:53:00,FEW:02 40 BKN:07 95
16662,2022-04-19T05:53:00,OVC:08 2
16940,2022-04-26T17:53:00,CLR:00
16850,2022-04-23T22:53:00,CLR:00
11542,2021-12-05T21:58:00,VV:09 3
9383,2021-10-20T18:53:00,OVC:08 10
18000,2022-06-03T05:53:00,CLR:00
13258,2022-01-12T00:53:00,CLR:00
9658,2021-10-25T18:53:00,CLR:00
13063,2022-01-08T02:46:00,VV:09 1
10260,2021-11-07T01:53:00,CLR:00
10371,2021-11-09T22:03:00,OVC:08 2
810,2021-01-19T10:53:00,CLR:00
15066,2022-03-04T00:53:00,OVC:08 70
2676,2021-03-13T04:53:00,OVC:08 5
17038,2022-04-30T15:53:00,FEW:02 30
11867,2021-12-13T11:31:00,BKN:07 14 OVC:08 21
24641,2022-12-16T09:53:00,FEW:02 10
8446,2021-09-19T09:02:00,FEW:02 6
24996,2022-12-24T17:53:00,CLR:00
24182,2022-12-06T23:13:00,VV:09 2
21256,2022-09-16T17:53:00,CLR:00
2984,2021-03-22T23:59:00,
20035,2022-08-08T05:53:00,VV:09 2
15193,2022-03-08T16:53:00,CLR:00
15579,2022-03-19T16:53:00,SCT:04 38 BKN:07 45 OVC:08 120
3777,2021-04-17T20:53:00,CLR:00
4623,2021-05-15T17:53:00,FEW:02 20 BKN:07 250
8391,2021-09-18T11:53:00,OVC:08 6
6655,2021-07-24T20:53:00,CLR:00
11635,2021-12-07T20:43:00,OVC:08 2
3778,2021-04-17T21:53:00,CLR:00
14742,2022-02-20T17:32:00,CLR:00
6413,2021-07-15T22:53:00,OVC:08 7
8018,2021-09-06T04:47:00,BKN:07 1
17992,2022-06-02T22:53:00,CLR:00
422,2021-01-10T02:29:00,FEW:02 1
6306,2021-07-12T16:53:00,CLR:00
19253,2022-07-15T10:53:00,CLR:00
4428,2021-05-09T12:53:00,SCT:04 250
2631,2021-03-11T11:53:00,SCT:04 40
10685,2021-11-15T15:53:00,BKN:07 4
11624,2021-12-07T13:53:00,CLR:00
15253,2022-03-11T01:53:00,CLR:00
19026,2022-07-07T09:00:00,BKN:07 16
9739,2021-10-27T08:00:00,OVC:08 3
19717,2022-07-29T02:12:00,OVC:08 3
15530,2022-03-18T04:14:00,VV:09 5
22492,2022-10-20T23:48:00,OVC:08 2
21836,2022-10-04T06:53:00,2
4288,2021-05-04T09:53:00,CLR:00
4643,2021-05-16T09:53:00,OVC:08 11
13166,2022-01-10T05:39:00,FEW:02 100
15045,2022-03-03T07:53:00,SCT:04 5 OVC:08 95
16702,2022-04-20T03:35:00,OVC:08 21
3774,2021-04-17T17:53:00,CLR:00
12420,2021-12-24T03:53:00,VV:09 2
9583,2021-10-24T05:53:00,BKN:07 9 OVC:08 14
17127,2022-05-04T03:53:00,CLR:00
2907,2021-03-20T05:42:00,BKN:07 2
8951,2021-10-06T20:53:00,CLR:00
12298,2021-12-22T06:53:00,BKN:07 5 OVC:08 14
17504,2022-05-15T16:53:00,FEW:02 200
24785,2022-12-19T22:53:00,BKN:07 120
2041,2021-02-20T17:53:00,FEW:02 60
23472,2022-11-15T16:53:00,CLR:00
5528,2021-06-17T01:53:00,CLR:00
18453,2022-06-19T08:53:00,CLR:00
5266,2021-06-07T09:53:00,CLR:00
4369,2021-05-07T03:53:00,CLR:00
19583,2022-07-25T01:53:00,OVC:08 3
23477,2022-11-15T21:53:00,CLR:00
9048,2021-10-10T08:53:00,CLR:00
1568,2021-02-07T22:53:00,CLR:00
22849,2022-11-01T03:53:00,OVC:08 2
7605,2021-08-24T08:53:00,OVC:08 14
7393,2021-08-17T13:53:00,CLR:00
11300,2021-11-30T19:53:00,CLR:00
5639,2021-06-21T02:53:00,OVC:08 9
21368,2022-09-20T02:53:00,CLR:00
6058,2021-07-04T21:18:00,OVC:08 4
3819,2021-04-19T05:53:00,OVC:08 3
4430,2021-05-09T14:53:00,FEW:02 250
15683,2022-03-23T08:51:00,VV:09 2
3206,2021-03-31T09:53:00,CLR:00
20439,2022-08-21T11:53:00,CLR:00
21766,2022-10-02T03:30:00,OVC:08 15
20956,2022-09-05T21:53:00,CLR:00
5625,2021-06-20T15:53:00,CLR:00
13151,2022-01-09T19:53:00,CLR:00
8882,2021-10-04T23:53:00,CLR:00
9013,2021-10-08T23:53:00,CLR:00
1514,2021-02-06T09:53:00,CLR:00
2688,2021-03-13T11:53:00,FEW:02 20
21621,2022-09-27T22:53:00,CLR:00
18391,2022-06-16T22:53:00,CLR:00
8810,2021-10-02T01:53:00,CLR:00
13712,2022-01-22T03:53:00,CLR:00
12155,2021-12-19T02:30:00,FEW:02 3 OVC:08 8
15432,2022-03-15T23:53:00,CLR:00
4975,2021-05-28T05:31:00,VV:09 2
24570,2022-12-15T01:19:00,VV:09 1
17958,2022-06-01T14:53:00,SCT:04 150
3335,2021-04-04T15:53:00,SCT:04 250
21309,2022-09-18T12:53:00,FEW:02 15 BKN:07 20 OVC:08 30
871,2021-01-21T21:09:00,BKN:07 17 OVC:08 95
19878,2022-08-03T06:53:00,FEW:02 5 BKN:07 200
4763,2021-05-20T16:53:00,FEW:02 40
22201,2022-10-13T07:53:00,OVC:08 3
3247,2021-04-01T23:53:00,CLR:00
17201,2022-05-06T05:33:00,OVC:08 4
6643,2021-07-24T08:53:00,CLR:00
3105,2021-03-27T19:53:00,CLR:00
10896,2021-11-19T22:28:00,VV:09 2
8578,2021-09-23T23:53:00,CLR:00
21388,2022-09-20T19:53:00,SCT:04 110
4172,2021-04-30T07:53:00,CLR:00
18903,2022-07-04T00:53:00,BKN:07 24
56,2021-01-02T02:51:00,OVC:08 3
23321,2022-11-11T02:00:00,SCT:04 1
4759,2021-05-20T12:53:00,SCT:04 100
4537,2021-05-12T23:24:00,OVC:08 4
4869,2021-05-24T06:51:00,OVC:08 2
3477,2021-04-08T23:53:00,CLR:00
16745,2022-04-21T00:46:00,SCT:04 16 BKN:07 43 OVC:08 65
521,2021-01-12T06:53:00,OVC:08 120
12232,2021-12-20T23:53:00,OVC:08 48
16483,2022-04-15T01:14:00,SCT:04 12 OVC:08 17
4019,2021-04-25T10:53:00,SCT:04 12 BKN:07 29 OVC:08 49
15029,2022-03-03T02:15:00,VV:09 2
11158,2021-11-27T19:53:00,CLR:00
16632,2022-04-18T15:16:00,BKN:07 26 BKN:07 36 OVC:08 55
